item_id,russian_description,english_description
000445bedb6a,None,None
001107dfc834,Продается палантин-шарф для весеннего сезона цветной полосками. Абсолютно новый.,"For sale, a stole scarf for the spring season with colored stripes. Absolutely new."
00157b436957,"Изготовим  за 3 дня ./
Объемные буквы (световые)/
короба Световые/
сделаем предварительные расчеты /
изготовим дизайн вашей наружной вывески /
Акрилайты /
Согласуем с Администрацией города !","We'll make it in a day.
Volumetric letters (light) /
box Light /
we will make preliminary calculations /
we will design your outdoor sign /
Acrylates /
We will coordinate with the City Administration!"
00272295d2fc,None,None
003b388c44af,"Продам системный блок компьютера на базе pentium 4 3 ггц, 1 гигабайт оперативки, видео/аудио встроенное, жесткий диск на 80 гигабайт. В придачу отдаю еще 2 жестких диска  - на 120 и на 60 гигов.","Selling a computer system unit based on pentium GHz, gigabytes of RAM, video / audio built-in, hard drive per gigabyte. In addition I give still hard drives - on and on gigs."
00431b47a925,Торг уместен!,Bargaining is appropriate!
005639020862,"⚠⚠В НАЛИЧИИ!!! ⚠⚠⚠/
Adidas Hamburg замшевые/
цена  всего 900руб/
41 26 см/
42 27/
43-27,5 см/
44-28,5/
45 29 см/
46-29,5","⚠⚠In AVAILABILITY !!! ⚠⚠⚠ /
didas amburg suede /
price only rub /
  cm/
 /
-, cm/
-, /
  cm/
-,"
005ac2830520," /
/
Предоставляем КРЕДИТ на любую электронику /
 /
В продаже ноутбук Packard bell /
/
С потрясающим качеством звука и изображения./
 /
Быстрая скорость работы и загрузки/
 /
Строгий дизайн./
/
Надежный корпус. Стильный дизайн, ультратонкий /
 /
▬ ★ Экран 15,6/
 /
▬ ★ Процессор AMD E-Series E1-2100 1,4 ггц/
 /
▬ ★ Оперативная память 2 Гб/
 /
▬ ★ Жесткий диск 500 Гб/
 /
▬ ★ Видео AMD Radeon HD 8230/
 /
▬ ★ DVD-RW/ Wi-Fi/ BT / HDMI / веб камера/
 /
▬ ★ ▬ ★▬ ★ ▬ ★▬ ★ ▬ ★▬ ★ ▬ /
 /
Доставка по Барнаулу БЕСПЛАТНО!/
 /
Наличный и безналичный расчет/
/
Ежедневно с 9-00 до 23-00","/
/
We provide CREDIT to any electronics /
 /
On sale laptop ackard bell /
/
With amazing sound and picture quality.
 /
Fast speed and load /
 /
Strict design. /
/
Reliable housing. Stylish design, ultra-thin /
 /
▬ ★ Screen, /
 /
▬ ★ Processor -eries -, GHz /
 /
▬ ★ Memory GB /
 /
▬ ★ Hard Drive GB /
 /
▬ ★ Video adeon /
 /
▬ ★ V-W / Wi-i / / / web camera /
 /
▬ ★ ▬ ★ ▬ ★ ▬ ★ ▬ ★ ▬ ★ ▬ ★ ▬ /
 /
Delivery to Barnaul for FREE!
 /
Cash and non-cash payment /
/
Daily from - to -"
007821145b6a,"Диван раздвижной /
Ширина с подлакотниками 134см/
Ширина лежака 100см/
Длина лежака 185/
Есть 2 отдела под постельное белье/
Диван мягкий, удобный./
Звонить с 14-00 до 20-00","Sofa extension /
Width with armrests cm /
Width of sunbed cm /
Length of the lounger /
There is a department for bed linen /
The sofa is soft, comfortable. /
Call from - to -"
009e66ea7063,Продам или отдам за шоколадное яйцо каждая,I'll sell or give for a chocolate egg each
00b7e645be73,В хорошем состоянии. Без капюшона.Торг. Предложите свою цену.,In a good condition. Without a hood. Offer your price.
00bf68b0fb29,"М400 АзияЦемент г.Пенза 40кг..- 212р./
М500 АзияЦемент г.Пенза 50кг. - 285р./
М400 АзияЦемент г.Пенза 50кг.. - 275р./
Каждый 21-й мешок в подарок./
Доставка по городу и области, газель, манипулятор, длиномер, тонер. От одного мешка до любых объёмов.","M AsiaCement Penza kg ..- p. /
M AsiaCement, Penza, kg. - R./
M AsiaCement, Penza, kg .. - р. /
Every sack is a present. /
Delivery in the city and region, gazelle, manipulator, length gauge, toner. From one bag to any volume."
00c1bd61ce1b,"Квартира от подрядчика. Услуги 0%/
 /
Расмотрим обмен, ипотека, мат.капитал/
 /
 ","Apartment from the contractor. Services% /
 /
We will review the exchange, mortgage, mat.capital /
 /
"
00d292c92f8d,"Продается ноутбук в хорошем состоянии установлена Виндовс 7 /
A6-Series/
Процессор: 	AMD A6-Series 2700 МГц Trinity (A6-4400M)/
Количество ядер:	2/
Шина/Кеш:	1 Mb L2 (L3) Cache/
Оперативная память: 4096 Мб DDR3-1600МГц/
Экран:	15.6"" LED /
Разрешение:	(1366x768) WXGA/
Видеокарта: 	AMD Mobility Radeon HD 7670, 1024+1632 Мб , Доп. карта: AMD Radeon HD 7520G, 512 + 1632 Мб/
Звуковая карта:	Intel High-Definition Audio/
Жесткий диск: 320Гб (5400 rpm), HDD/
Оптический привод:DVD±RW (DL)/
Связь:	lan 10/100/1000/
Беспроводная связь: 	Bluetooth 3.0 + HS, WiFi (802.11a/b/g/n)/
Порты:	2xUSB 2.0, 2xUSB 3.0, Kensington security, Line-out, Mic-in, HDMI, VGA/
Слоты расширения:	Card Reader (SD/SDHC/SDXC/MMC)  /
Дополнительные устройства:	Camera (1.3)/
Устройства ввода:	Кл-ра Windows, Сенсорный планшет Touch Pad/
Батарея:	Li-Ion 4400 мАч (до 6.0 часов)/
Вес:	2.250 кг/
Цвет:	Серебристый Металлик/
Цвет клавиатуры:	Черный/
Материал корпуса:	Пластик/
Корпус (Д х Ш х В):	367x240x30 мм/
Есть сумка продаеться за 500руб","For sale laptop in good condition installed Windows /
-eries /
Processor -eries MHz rinity (-) /
Number of Cores	/
Bus / Cache b () ache /
RAM MB-MHz /
Screen. ""/
Resolution (x) WX /
Video card obility adeon, + MB, Extras. adeon card, + MB /
Sound card ntel igh-einition udio /
Hard disk GB (rpm), /
Optical driveV ± W () /
Contact lan ///
Wireless luetooth. +, Wii (.a / b / g / n) /
Ports x., X., Ensington security, in-out, ic-in,, V /
Expansion slots ard eader (// X /) /
Additional devices amera (.) /
Windows Input Devices, Touch Pad ouch ad /
Battery i-on mAh (up to hours) /
The weight	. kg /
Color Silver Metallic /
Keyboard color Black /
Housing material Plastic /
Housing (L x W x H) x x mm /
There is a bag sold for rub"
00d5873f9695,После не большого дтп.130000 пробег.полная комплектация.2011 года ноябрь.требуется покраска.горантия на подвеску до август месяца.170000 торг.,After not a big accident. mileage.full grade. November.It needs painting. Guarantee for suspension until August. bargain.
00e566238ee8,"Телефон новый, цвет space gray, был подарен 7.03.17 но я не люблю iPhone! Обменяю на достойный Андройд (android)! Предложения по обмену в сообщениях на авито!","The phone is new, the color space gray, was donated .. but I do not like the ihone! Exchange for a decent Androyd (android)! Proposals for exchange in messages to Avito!"
00ef14770690,"Новый с этикеткой, от 3-6 м.","New with a label, from - m."
00f47c080c04,"Продам пальто-жилет в отличном состоянии, одевала 3 раза. Размер 46. Самовывоз с Билимбаевской.","Selling a coat-vest in perfect condition, dressed fold. The size . Pickup with Bilimbayevskaya."
